"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R3,R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"10k";;;
2;"U6,U4,U2";"16_Pin_DIL_IC_Socket";3;"74HC595";;;
3;"K4,K2,K8,K5,K1,K3,K6,K7";"Relay_SPST_Altronics_S4252B";8;"Relay 12V DC";;;
4;"C6,C7,C8,C9,C5,C4,C2,C10";"C_Disc_D4.3mm_W1.9mm_P5.00mm";8;"0.1uf";;;
5;"J11";"3_Way_Screw_Terminal_Altronics_(P2033B)";1;"MAIN POWER TERMINAL";;;
6;"U3,U1,U5";"18_Pin_DIL_IC_Socket";3;"ULN2803A";;;
7;"D3,D4,D1,D2,D7,D5,D6,D8";"D_DO-41_SOD81_P10.16mm_Horizontal";8;"1N4004";;;
8;",,,";"";4;"";;;
9;"F1";"PinHeader_1x02_P2.54mm_Vertical";1;"Fuse";;;
10;"U7";"TO255P1020X450X1968-3";1;"LD1117V33";;;
11;"A1";"SEEED_113990105";1;"Node MCU ESP8266";;;
12;"J8";"PinHeader_1x08_P2.54mm_Vertical";1;"Digit Connectors (+ve)";;;
13;"J4";"PinHeader_1x03_P2.54mm_Vertical";1;"Spare 3.3V";;;
14;"C3";"CP_Radial_D5.0mm_P2.00mm";1;"10uf";;;
15;"J9,J6";"PinHeader_1x15_P2.54mm_Vertical";2;"ESP8266 Extra Pins";;;
16;"J10";"PinHeader_1x05_P2.54mm_Vertical";1;"Shift Register Expantion Ports";;;
17;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"220";;;
18;"J7";"PinHeader_1x08_P2.54mm_Vertical";1;"White Seg Conn (-ve)";;;
19;"J1";"PinHeader_1x03_P2.54mm_Vertical";1;"Spare GND";;;
20;"J5";"PinHeader_1x08_P2.54mm_Vertical";1;"Black Seg Conn (-ve)";;;
21;"J2";"PinHeader_1x03_P2.54mm_Vertical";1;"Spare VDC";;;
22;"D9";"LED_D5.0mm";1;"PWR_LED";;;
23;"C1";"CP_Radial_D10.0mm_P5.00mm";1;"100uf";;;
24;"J3";"PinHeader_1x03_P2.54mm_Vertical";1;"Spare 5V";;;
